           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,            244,  0.3256582    ,  0.6482487    ,   64.48685    ,  0.1203367    ,   64.36469    ,  0.1846203E-02,  -59.32959    ,  0.3256582    ,  0.6482487    ,   64.48685    ,  0.1203367    ,   64.36469    ,  0.1846203E-02,  0.6471391E-02,  0.7505759E-02,   0.000000    ,   0.000000    ,  0.4005704E-02,   20.06420    ,  0.1623356E-02,   20.06582    ,   60.63479    ,   0.000000    ,   60.63479    ,   464.0553    ,   0.000000    ,   464.0553    ,   544.7543    ,  0.1623356E-02,   544.7559    ,   2.724698    ,   0.000000    ,   547.4985    ,  -59.32959    ,
           1980,            245,   2.078616    ,   1.768529    ,   71.16449    ,  0.3173710    ,   70.83445    ,  0.1266471E-01,  -69.94531    ,   1.752958    ,   1.120281    ,   6.677646    ,  0.1970343    ,   6.469794    ,  0.1081851E-01,  0.2311291E-01,  0.1032458    ,  0.2691724E-03,  0.1055317E-05,  0.1157044E-01,   18.47895    ,  0.8698232    ,   19.34878    ,   59.28301    ,   0.000000    ,   59.28301    ,   447.5763    ,   0.000000    ,   447.5763    ,   525.3383    ,  0.8698232    ,   526.2081    ,   5.671147    ,   0.000000    ,   532.0174    ,  -15.48114    ,
           1980,            246,   9.192299    ,   3.150066    ,   75.31783    ,  0.5480903    ,   74.73747    ,  0.3225598E-01,  -72.54565    ,   7.113683    ,   1.381536    ,   4.153338    ,  0.2307194    ,   3.903028    ,  0.1959126E-01,  0.2797237    ,  0.1804187    ,  0.3528715    ,  0.3175350E-02,  0.3361464E-01,   19.32987    ,  0.7749420E-01,   19.40737    ,   58.41754    ,   0.000000    ,   58.41754    ,   443.0097    ,   0.000000    ,   443.0097    ,   520.7571    ,  0.7749420E-01,   520.8347    ,   8.805976    ,   0.000000    ,   530.4904    ,  -1.526978    ,
           1980,            247,   11.71525    ,   4.078047    ,   77.75092    ,  0.6235483    ,   77.06721    ,  0.6015003E-01,  -73.19482    ,   2.522953    ,  0.9279814    ,   2.433085    ,  0.7545794E-01,   2.329733    ,  0.2789406E-01,   1.098765    ,  0.1280584    ,   2.316790    ,  0.2323688E-01,  0.6734575E-01,   19.15008    ,  0.1071601    ,   19.25724    ,   57.67044    ,   0.000000    ,   57.67044    ,   440.0517    ,   0.000000    ,   440.0517    ,   516.8722    ,  0.1071601    ,   516.9794    ,   11.42409    ,   0.000000    ,   532.0377    ,   1.547241    ,
           1980,            248,   12.09160    ,   5.014822    ,   78.99303    ,  0.7643623    ,   78.13282    ,  0.9584367E-01,  -73.96881    ,  0.3763424    ,  0.9367741    ,   1.242120    ,  0.1408139    ,   1.065613    ,  0.3569362E-01,  0.3641571    ,  0.5194583E-01,   2.225489    ,  0.1074971E-01,  0.2373478E-01,   18.09588    ,   1.086675    ,   19.18257    ,   57.20659    ,  0.1278064E-03,   57.20671    ,   437.4213    ,   0.000000    ,   437.4213    ,   512.7238    ,   1.086803    ,   513.8105    ,   13.69547    ,   0.000000    ,   530.1822    ,  -1.855469    ,
           1980,            249,   12.11781    ,   6.687521    ,   79.70805    ,   1.043426    ,   78.52579    ,  0.1388309    ,  -74.85553    ,  0.2621249E-01,   1.672701    ,  0.7150145    ,  0.2790643    ,  0.3929631    ,  0.4298722E-01,  0.2014044E-01,  0.3267878E-02,   1.844995    ,  0.1156811E-01,  0.9583418E-02,   17.39553    ,   1.468577    ,   18.86411    ,   56.51436    ,  0.9369036E-01,   56.60804    ,   434.9565    ,   0.000000    ,   434.9565    ,   508.8664    ,   1.562267    ,   510.4286    ,   15.70107    ,   0.000000    ,   528.0194    ,  -2.162781    ,
           1980,            250,   12.17775    ,   8.842552    ,   80.32296    ,   1.401533    ,   78.73284    ,  0.1885662    ,  -75.84314    ,  0.5993047E-01,   2.155031    ,  0.6148952    ,  0.3581075    ,  0.2070524    ,  0.4973534E-01,  0.2634578E-02,  0.2357056E-03,   1.340273    ,  0.1427275E-01,  0.9745468E-02,   17.41630    ,  0.9138262    ,   18.33013    ,   55.89586    ,  0.5252932E-01,   55.94839    ,   432.4722    ,   0.000000    ,   432.4722    ,   505.7844    ,  0.9663556    ,   506.7507    ,   17.47688    ,   0.000000    ,   525.5948    ,  -2.424622    ,
           1980,            251,   17.43768    ,   10.32395    ,   82.31290    ,   1.684461    ,   80.38391    ,  0.2445154    ,  -76.74963    ,   5.259933    ,   1.481394    ,   1.989947    ,  0.2829278    ,   1.651071    ,  0.5594916E-01,  0.5693112E-02,  0.1536736    ,  0.9284766    ,  0.1792435E-01,  0.3556439E-01,   18.39437    ,  0.6949123E-01,   18.46386    ,   55.27136    ,  0.3469047E-01,   55.30606    ,   430.2568    ,   0.000000    ,   430.2568    ,   503.9225    ,  0.1041817    ,   504.0267    ,   19.05597    ,   0.000000    ,   524.2240    ,  -1.370789    ,
           1980,            252,   17.60020    ,   12.13585    ,   84.17716    ,   2.084607    ,   81.78629    ,  0.3062492    ,  -77.46429    ,  0.1625190    ,   1.811904    ,   1.864264    ,  0.4001457    ,   1.402384    ,  0.6173377E-01,  0.1426980    ,  0.3900205E-01,  0.7106367    ,  0.5971214E-02,  0.2582889E-01,   18.44409    ,  0.5860894    ,   19.03018    ,   55.31104    ,  0.1540180E-02,   55.31258    ,   428.2823    ,   0.000000    ,   428.2823    ,   502.0374    ,  0.5876296    ,   502.6250    ,   20.48455    ,   0.000000    ,   524.0337    , -0.1903076    ,
           1980,            253,   17.60020    ,   13.95155    ,   84.80067    ,   2.422981    ,   82.00431    ,  0.3733735    ,  -78.28003    ,   0.000000    ,   1.815700    ,  0.6235147    ,  0.3383744    ,  0.2180160    ,  0.6712437E-01,  0.2237847E-04,  0.3400115E-08,  0.5585959    ,  0.5053752E-02,  0.3381914E-02,   17.19808    ,   1.246422    ,   18.44451    ,   54.49256    ,  0.7468442E-02,   54.50003    ,   426.3513    ,   0.000000    ,   426.3513    ,   498.0420    ,   1.253891    ,   499.2959    ,   21.78429    ,   0.000000    ,   521.6473    ,  -2.386353    ,
           1980,            254,   17.60020    ,   15.80841    ,   85.32284    ,   2.809024    ,   82.06831    ,  0.4455006    ,  -79.15308    ,   0.000000    ,   1.856860    ,  0.5221710    ,  0.3860424    ,  0.6400163E-01,  0.7212710E-01,  0.2447727E-05,  0.2074439E-08,  0.4079404    ,  0.2113377E-02,  0.3396121E-02,   17.33857    ,  0.7511907    ,   18.08976    ,   53.48226    ,  0.2623220E-02,   53.48488    ,   424.4629    ,   0.000000    ,   424.4629    ,   495.2838    ,  0.7538139    ,   496.0376    ,   22.96616    ,   0.000000    ,   519.4172    ,  -2.230164    ,
           1980,            255,   17.73018    ,   17.27772    ,   85.76192    ,   3.112353    ,   82.12729    ,  0.5222708    ,  -80.04401    ,  0.1299844    ,   1.469310    ,  0.4390775    ,  0.3033292    ,  0.5897808E-01,  0.7677018E-01,  0.7868191E-03,  0.2376600E-02,  0.2869706    ,  0.9253028E-03,  0.1883372E-02,   17.46455    ,  0.3221644    ,   17.78672    ,   52.63869    ,   0.000000    ,   52.63869    ,   422.7044    ,   0.000000    ,   422.7044    ,   492.8076    ,  0.3221644    ,   493.1298    ,   24.04395    ,   0.000000    ,   517.4666    ,  -1.950562    ,
           1980,            256,   31.26393    ,   18.24176    ,   95.11243    ,   3.345714    ,   91.16334    ,  0.6033760    ,  -80.66296    ,   13.53375    ,  0.9640353    ,   9.350515    ,  0.2333616    ,   9.036050    ,  0.8110528E-01,  0.1839582E-01,  0.2469627    ,  0.2121993    ,  0.2650242E-02,  0.1329001    ,   19.74953    ,  0.2162919E-04,   19.74954    ,   52.53759    ,   0.000000    ,   52.53759    ,   421.1370    ,   0.000000    ,   421.1370    ,   493.4241    ,  0.2162919E-04,   493.4241    ,   25.03490    ,   0.000000    ,   519.0722    ,   1.605591    ,
           1980,            257,   39.79943    ,   19.53208    ,   100.6294    ,   3.484159    ,   96.45667    ,  0.6885903    ,  -80.97083    ,   8.535499    ,   1.290316    ,   5.516991    ,  0.1384439    ,   5.293332    ,  0.8521421E-01,  0.7884429    ,  0.2179732    ,   1.791742    ,  0.3097791E-01,  0.3538840    ,   19.84733    ,  0.1928121E-03,   19.84752    ,   53.09815    ,   0.000000    ,   53.09815    ,   419.9319    ,   0.000000    ,   419.9319    ,   492.8773    ,  0.1928121E-03,   492.8775    ,   25.96136    ,   0.000000    ,   522.0218    ,   2.949585    ,
           1980,            258,   39.83966    ,   20.61347    ,   101.6583    ,   3.685172    ,   97.19542    ,  0.7777538    ,  -81.32977    ,  0.4023768E-01,   1.081391    ,   1.028922    ,  0.2010130    ,  0.7387457    ,  0.8916352E-01,  0.2951580    ,  0.3092941E-01,   2.326423    ,  0.2482824E-01,  0.2522806    ,   18.56761    ,  0.4906237    ,   19.05824    ,   52.98347    ,   0.000000    ,   52.98347    ,   418.8569    ,   0.000000    ,   418.8569    ,   490.4080    ,  0.4906237    ,   490.8986    ,   26.84090    ,   0.000000    ,   520.6692    ,  -1.352600    ,
           1980,            259,   40.26740    ,   21.80271    ,   102.1630    ,   3.865666    ,   97.42670    ,  0.8707010    ,  -81.74829    ,  0.4277259    ,   1.189239    ,  0.5047022    ,  0.1804936    ,  0.2312612    ,  0.9294733E-01,  0.8316544E-01,  0.1289007E-01,   2.088673    ,  0.2382157E-01,  0.1246097    ,   18.23953    ,  0.3081585    ,   18.54769    ,   52.75772    ,   0.000000    ,   52.75772    ,   417.7180    ,   0.000000    ,   417.7180    ,   488.7153    ,  0.3081585    ,   489.0235    ,   27.67415    ,   0.000000    ,   519.0308    ,  -1.638367    ,
           1980,            260,   41.80540    ,   22.69252    ,   102.8490    ,   4.031781    ,   97.85001    ,  0.9672628    ,  -82.18408    ,   1.537991    ,  0.8898160    ,  0.6859875    ,  0.1661152    ,  0.4233102    ,  0.9656209E-01,  0.2409760E-01,  0.4632726E-01,   1.960967    ,  0.6856063E-02,  0.2893645E-01,   15.91609    ,   2.476757    ,   18.39284    ,   52.38895    ,  0.4378749E-02,   52.39333    ,   416.5938    ,   0.000000    ,   416.5938    ,   484.8988    ,   2.481136    ,   487.3799    ,   28.46192    ,   0.000000    ,   517.9089    ,  -1.121887    ,
           1980,            261,   50.55803    ,   23.59862    ,   108.7317    ,   4.148204    ,   103.5163    ,   1.067269    ,  -82.47504    ,   8.752637    ,  0.9060896    ,   5.882676    ,  0.1164223    ,   5.666247    ,  0.1000066    ,  0.2136274    ,  0.2547220    ,   1.799022    ,  0.1480477E-01,  0.1412511    ,   19.70420    ,  0.2088207    ,   19.91302    ,   52.51120    ,  0.7958239E-02,   52.51917    ,   415.5029    ,   0.000000    ,   415.5029    ,   487.7183    ,  0.2167790    ,   487.9351    ,   29.20547    ,   0.000000    ,   519.5641    ,   1.655151    ,
           1980,            262,   55.31001    ,   24.39636    ,   112.1790    ,   4.258077    ,   106.7503    ,   1.170583    ,  -82.69397    ,   4.751974    ,  0.7977385    ,   3.447257    ,  0.1098732    ,   3.234070    ,  0.1033135    ,  0.4576550    ,  0.1718078    ,   2.598652    ,  0.3776057E-01,  0.2286653    ,   19.52808    ,  0.9423319E-01,   19.62231    ,   52.59632    ,  0.1035054E-01,   52.60669    ,   414.6745    ,   0.000000    ,   414.6745    ,   486.7990    ,  0.1045837    ,   486.9035    ,   29.91310    ,   0.000000    ,   520.3112    ,  0.7470703    ,
           1980,            263,   61.66066    ,   25.06904    ,   117.5712    ,   4.364508    ,   111.9296    ,   1.277097    ,  -82.87024    ,   6.350658    ,  0.6726836    ,   5.392248    ,  0.1064308    ,   5.179302    ,  0.1065142    ,  0.1932651    ,  0.2001504    ,   2.665406    ,  0.4890941E-01,  0.3210438    ,   19.89995    ,  0.9304359E-01,   19.99299    ,   52.82560    ,  0.1516426E-01,   52.84076    ,   413.8484    ,   0.000000    ,   413.8484    ,   486.5740    ,  0.1082078    ,   486.6822    ,   30.59245    ,   0.000000    ,   520.7034    ,  0.3922119    ,
           1980,            264,   66.35002    ,   26.23825    ,   119.0330    ,   4.477287    ,   113.1690    ,   1.386715    ,  -83.03595    ,   4.689354    ,   1.169210    ,   1.461766    ,  0.1127789    ,   1.239369    ,  0.1096177    ,  0.3159405    ,  0.9799770E-01,   3.044786    ,  0.2783049E-01,  0.2979223    ,   18.88338    ,  0.7064057    ,   19.58977    ,   52.83255    ,  0.1630011E-02,   52.83419    ,   413.1149    ,   0.000000    ,   413.1149    ,   484.8308    ,  0.7080357    ,   485.5388    ,   31.24623    ,   0.000000    ,   520.5696    , -0.1337891    ,
           1980,            265,   67.03653    ,   27.55322    ,   119.8470    ,   4.516665    ,   113.8310    ,   1.499350    ,  -83.09735    ,  0.6864992    ,   1.314965    ,  0.8139644    ,  0.3937773E-01,  0.6619512    ,  0.1126353    ,  0.9973547    ,  0.9001010E-01,   5.112504    ,  0.9459437E-02,  0.2541398    ,   18.38935    ,  0.8497336    ,   19.23909    ,   52.47248    ,   0.000000    ,   52.47248    ,   412.4215    ,   0.000000    ,   412.4215    ,   483.2834    ,  0.8497336    ,   484.1331    ,   31.87736    ,   0.000000    ,   522.4741    ,   1.904480    ,
