           YEAR,           JDAY,        QOMEAS1,         QOSIM1,
           1980,            244,   10.60000    ,   408.5657    ,
           1980,            245,   10.60000    ,   148.1993    ,
           1980,            246,   10.40000    ,   17.66505    ,
           1980,            247,   11.00000    ,   16.95254    ,
           1980,            248,   10.80000    ,   7.828521    ,
           1980,            249,   10.00000    ,   7.579295    ,
           1980,            250,   9.130000    ,   6.720743    ,
           1980,            251,   8.530000    ,   7.383610    ,
           1980,            252,   8.040000    ,   16.26023    ,
           1980,            253,   9.520000    ,   6.123159    ,
           1980,            254,   8.850000    ,   6.301155    ,
           1980,            255,   8.580000    ,   4.862932    ,
           1980,            256,   7.950000    ,   29.86381    ,
           1980,            257,   7.750000    ,   38.02509    ,
           1980,            258,   7.780000    ,   9.567259    ,
           1980,            259,   7.690000    ,   6.167163    ,
           1980,            260,   7.980000    ,   3.942188    ,
           1980,            261,   8.370000    ,   23.51738    ,
           1980,            262,   9.170000    ,   16.82458    ,
           1980,            263,   11.60000    ,   24.59337    ,
           1980,            264,   11.10000    ,   13.59619    ,
           1980,            265,   10.30000    ,   5.513004    ,
           1980,            266,   9.550000    ,   2.523540    ,
           1980,            267,   8.520000    ,   1.023462    ,
           1980,            268,   7.900000    ,  0.8007967    ,
           1980,            269,   7.400000    ,  0.8615751    ,
           1980,            270,   7.050000    ,   1.183297    ,
           1980,            271,   6.820000    ,   5.087302    ,
           1980,            272,   6.580000    ,   7.690699    ,
           1980,            273,   6.400000    ,   11.58216    ,
           1980,            274,   6.360000    ,   14.67474    ,
           1980,            275,   7.230000    ,   3.360018    ,
           1980,            276,   6.930000    ,   2.068712    ,
           1980,            277,   6.260000    ,   2.347665    ,
           1980,            278,   5.800000    ,   2.182135    ,
           1980,            279,   5.490000    ,   2.116172    ,
           1980,            280,   5.020000    ,   2.522273    ,
           1980,            281,   4.740000    ,   4.929489    ,
           1980,            282,   4.570000    ,   4.140462    ,
           1980,            283,   4.480000    ,  0.9846861    ,
           1980,            284,   4.390000    ,  0.6812716    ,
           1980,            285,   4.330000    ,  0.8587873    ,
           1980,            286,   4.180000    ,   1.100342    ,
           1980,            287,   4.050000    ,   1.283206    ,
           1980,            288,   3.940000    ,  0.9233518    ,
           1980,            289,   3.930000    ,  0.8002561    ,
           1980,            290,   3.830000    ,  0.7200448    ,
           1980,            291,   3.730000    ,   1.079210    ,
           1980,            292,   3.840000    ,   1.179723    ,
           1980,            293,   4.390000    ,   1.050202    ,
           1980,            294,   4.550000    ,  0.9596723    ,
           1980,            295,   4.400000    ,  0.7708859    ,
           1980,            296,   4.470000    ,  0.7088578    ,
           1980,            297,   4.080000    ,  0.7079962    ,
           1980,            298,   3.940000    ,  0.7102284    ,
           1980,            299,   3.820000    ,  0.7124500    ,
           1980,            300,   3.710000    ,  0.7145299    ,
           1980,            301,   3.600000    ,  0.7164682    ,
           1980,            302,   3.520000    ,  0.7182696    ,
           1980,            303,   3.500000    ,  0.7199406    ,
           1980,            304,   3.430000    ,  0.7214869    ,
           1980,            305,   3.300000    ,  0.7229131    ,
           1980,            306,   3.180000    ,  0.7242243    ,
           1980,            307,  -1.000000    ,  0.7254229    ,
           1980,            308,  -1.000000    ,  0.7265131    ,
           1980,            309,  -1.000000    ,  0.7274997    ,
           1980,            310,  -1.000000    ,  0.7283874    ,
           1980,            311,  -1.000000    ,  0.7291778    ,
           1980,            312,  -1.000000    ,  0.7298744    ,
           1980,            313,  -1.000000    ,  0.7304825    ,
           1980,            314,  -1.000000    ,  0.7310057    ,
           1980,            315,  -1.000000    ,  0.7314449    ,
           1980,            316,  -1.000000    ,  0.7318008    ,
           1980,            317,  -1.000000    ,  0.7320752    ,
           1980,            318,  -1.000000    ,  0.7322699    ,
           1980,            319,  -1.000000    ,  0.7323809    ,
           1980,            320,  -1.000000    ,  0.7323926    ,
           1980,            321,  -1.000000    ,  0.7322936    ,
           1980,            322,  -1.000000    ,  0.7320794    ,
           1980,            323,  -1.000000    ,  0.7317252    ,
           1980,            324,  -1.000000    ,  0.7312378    ,
           1980,            325,  -1.000000    ,  0.7306154    ,
           1980,            326,  -1.000000    ,  0.7296753    ,
           1980,            327,  -1.000000    ,  0.7284513    ,
           1980,            328,  -1.000000    ,  0.7269166    ,
           1980,            329,  -1.000000    ,  0.7246225    ,
           1980,            330,  -1.000000    ,  0.7218247    ,
           1980,            331,  -1.000000    ,  0.7188932    ,
           1980,            332,  -1.000000    ,  0.7157378    ,
           1980,            333,  -1.000000    ,  0.7123737    ,
           1980,            334,  -1.000000    ,  0.7088704    ,
           1980,            335,  -1.000000    ,  0.7053246    ,
           1980,            336,  -1.000000    ,  0.7017666    ,
           1980,            337,  -1.000000    ,  0.6981950    ,
           1980,            338,  -1.000000    ,  0.6946373    ,
           1980,            339,  -1.000000    ,  0.6910993    ,
           1980,            340,  -1.000000    ,  0.6875823    ,
           1980,            341,  -1.000000    ,  0.6840823    ,
           1980,            342,  -1.000000    ,  0.6806023    ,
           1980,            343,  -1.000000    ,  0.6771436    ,
           1980,            344,  -1.000000    ,  0.6737037    ,
           1980,            345,  -1.000000    ,  0.6702746    ,
           1980,            346,  -1.000000    ,  0.6668651    ,
           1980,            347,  -1.000000    ,  0.6634767    ,
           1980,            348,  -1.000000    ,  0.6601083    ,
           1980,            349,  -1.000000    ,  0.6567609    ,
           1980,            350,  -1.000000    ,  0.6534350    ,
           1980,            351,  -1.000000    ,  0.6501307    ,
           1980,            352,  -1.000000    ,  0.6468472    ,
           1980,            353,  -1.000000    ,  0.6435847    ,
           1980,            354,  -1.000000    ,  0.6403427    ,
           1980,            355,  -1.000000    ,  0.6371214    ,
           1980,            356,  -1.000000    ,  0.6339210    ,
           1980,            357,  -1.000000    ,  0.6307408    ,
           1980,            358,  -1.000000    ,  0.6275810    ,
           1980,            359,  -1.000000    ,  0.6244410    ,
           1980,            360,  -1.000000    ,  0.6213210    ,
           1980,            361,  -1.000000    ,  0.6182207    ,
           1980,            362,  -1.000000    ,  0.6151395    ,
           1980,            363,  -1.000000    ,  0.6120782    ,
           1980,            364,  -1.000000    ,  0.6090361    ,
           1980,            365,  -1.000000    ,  0.6060129    ,
           1980,            366,  -1.000000    ,  0.6030088    ,
